Codigo_Entidad,Entidad,poblacion_total
68235,El Carmen de Chucurí,26442
68245,El Guacamayo,2425
68250,El Peñón,6009
68255,El Playón,16734
68264,Encino,3140
68266,Enciso,4205
68271,Florián,6321
68276,Floridablanca,345865
68296,Galán,3358
68298,Gámbita,4524
68307,Girón,193103
68318,Guaca,7251
68320,Guadalupe,5090
68322,Guapotá,2861
68324,Guavatá,4744
68327,Güepsa,6102
68344,Hato,2834
68368,Jesús María,3742
68370,Jordán,1684
68377,La Belleza,7013
68385,Landázuri,11760
68397,La Paz,5529
68406,Lebrija,54489
68418,Los Santos,18157
68425,Macaravita,2632
68432,Málaga,26086
68444,Matanza,6068
68464,Mogotes,12429
68468,Molagavita,5044
68498,Ocamonte,6987
68500,Oiba,12838
68502,Onzaga,5036
68522,Palmar,1655
68524,Palmas del Socorro,3043
68533,Páramo,5923
68547,Piedecuesta,208773
68549,Pinchote,6459
68572,Puente Nacional,16671
68573,Puerto Parra,9689
68575,Puerto Wilches,40114
68615,Rionegro,30617
68655,Sabana de Torres,41382
68669,San Andrés,9827
68673,San Benito,3313
68679,San Gil,72743
68682,San Joaquín,2705
68684,San José de Miranda,5064
68686,San Miguel,2950
68689,San Vicente de Chucurí,39630
68705,Santa Bárbara,2858
68720,Santa Helena del Opón,3837
68745,Simacota,12359
68755,Socorro,39667
68770,Suaita,11275
68773,Sucre,8058
68780,Suratá,4821
68820,Tona,9151
68855,Valle de San José,7589
68861,Vélez,28814
68867,Vetas,2442
68872,Villanueva,9724
68895,Zapatoca,11103
70000,Sucre,1116605
70001,Sincelejo,349354
70110,Buenavista,12996
70124,Caimito,19184
70204,Colosó,10850
70215,Corozal,83338
70221,Coveñas,23478
70230,Chalán,5338
70233,El Roble,11734
70235,Galeras,27493
70265,Guaranda,21544
70400,La Unión,15235
70418,Los Palmitos,28008
70429,Majagual,43978
70473,Morroa,18635
70508,Ovejas,27019
70523,Palmito,17745
70670,Sampués,58158
70678,San Benito Abad,35081
70702,San Juan de Betulia,16217
70708,San Marcos,70723
70713,San Onofre,58961
70717,San Pedro,22598
70742,San Luis de Sincé,36207
70771,Sucre,35961
70820,Santiago de Tolú,41123
70823,Tolú Viejo,25647
73000,Tolima,1531438
73001,Ibagué,615050
73024,Alpujarra,5203
73026,Alvarado,9815
73030,Ambalema,7444
73043,Anzoátegui,11801
73055,Armero,14199
73067,Ataco,22385
73124,Cajamarca,21360
73148,Carmen de Apicalá,11938
73152,Casabianca,7232
73168,Chaparral,58744
73200,Coello,9383
73217,Coyaima,26166
73226,Cunday,9821
73236,Dolores,9421
73268,Espinal,79932
73270,Falan,8739
73275,Flandes,32300
73283,Fresno,35412
73319,Guamo,37219
73347,Herveo,8473
73349,Honda,27406
73352,Icononzo,13597
73408,Lérida,20700
73411,Líbano,41467
73443,San Sebastián de Mariquita,44115
73449,Melgar,43024
73461,Murillo,4762
73483,Natagaima,17033
73504,Ortega,40280
73520,Palocabildo,11197
73547,Piedras,7986
73555,Planadas,30212
73563,Prado,9515
73585,Purificación,26426
73616,Rioblanco,26445
73622,Roncesvalles,6312
73624,Rovira,24920
73671,Saldaña,16354
73675,San Antonio,14791
73678,San Luis,15337
73686,Santa Isabel,6559
73770,Suárez,4292
73854,Valle de San Juan,6047
73861,Venadillo,14338
73870,Villahermosa,10537
73873,Villarrica,5749
76000,Valle del Cauca,5209883
76001,Cali,2550874
76020,Alcalá,16050
76036,Andalucía,26722
76041,Ansermanuevo,20002
76054,Argelia,6145
76100,Bolívar,17830
76109,Buenaventura,368806
76111,Guadalajara de Buga,146126
76113,Bugalagrande,27953
76122,Caicedonia,33289
76126,Calima,21130
76130,Candelaria,118052
76147,Cartago,157070
76233,Dagua,61376
76243,El Águila,10232
76246,El Cairo,7731
76248,El Cerrito,63960
76250,El Dovio,10251
76275,Florida,65216
76306,Ginebra,26620
76318,Guacarí,38369
76364,Jamundí,202998
76377,La Cumbre,19526
76400,La Unión,38884
76403,La Victoria,13869
76497,Obando,14069
76520,Palmira,414288
76563,Pradera,55879
76606,Restrepo,17583
76616,Riofrío,17788
76622,Roldanillo,42412
76670,San Pedro,19257
76736,Sevilla,48292
76823,Toro,16630
76828,Trujillo,22019
76834,Tuluá,248482
76845,Ulloa,6238
76863,Versalles,8269
76869,Vijes,15071
76890,Yotoco,18509
76892,Yumbo,127302
76895,Zarzal,48714
81000,Arauca,313753
81001,Arauca,102392
81065,Arauquita,59933
81220,Cravo Norte,4662
81300,Fortul,22758
81591,Puerto Rondón,5233
81736,Saravena,66683
81794,Tame,52092
85000,Casanare,519130
85001,Yopal,212783
85010,Aguazul,44157
85015,Chámeza,3010
85125,Hato Corozal,14680
85136,La Salina,1676
85139,Maní,21299
85162,Monterrey,21098
85225,Nunchía,10389
85230,Orocué,15593
85250,Paz de Ariporo,43234
85263,Pore,14828
85279,Recetor,1926
85300,Sabanalarga,4226
85315,Sácama,2408
85325,San Luis de Palenque,10051
85400,Támara,8153
85410,Tauramena,28807
85430,Trinidad,15798
85440,Villanueva,45014
86000,Putumayo,429169
86001,Mocoa,71685
86219,Colón,6395
86320,Orito,44658
86568,Puerto Asís,80334
86569,Puerto Caicedo,19479
86571,Puerto Guzmán,44757
86573,Puerto Leguízamo,38585
86749,Sibundoy,17784
86755,San Francisco,6401
86757,San Miguel,22478
86760,Santiago,8269
86865,Valle del Guamuez,39733
86885,Villagarzón,28611
88000,San Andrés y Providencia,69731
88564,Providencia,6873
91000,Amazonas,93747
91001,Leticia,59011
91540,Puerto Nariño,12424
94000,Guainía,63423
94001,Inírida,42124
94343,Barrancominas,12189
95000,Guaviare,95540
95001,San José del Guaviare,61647
95015,Calamar,11011
95025,El Retorno,15167
95200,Miraflores,7715
97000,Vaupés,49313
97001,Mitú,35836
97161,Carurú,3415
97666,Taraira,3055
99000,Vichada,151560
99001,Puerto Carreño,26259
99524,La Primavera,11914
99624,Santa Rosalía,4742
99773,Cumaribo,108645
